@info
{
    "table":{
        "name":"candset_minus_gold",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"video_games",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"theGamesDbId",
                "type":"INTEGER"
            },
            {
                "name":"MobyGamesId",
                "type":"INTEGER"
            },
            {
                "name":"theGamesDbName",
                "type":"TEXT"
            },
            {
                "name":"MobyGamesName",
                "type":"TEXT"
            },
            {
                "name":"theGamesDbDate",
                "type":"TEXT"
            },
            {
                "name":"MobyGamesDate",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairID:INTEGER,theGamesDbId:INTEGER,MobyGamesId:INTEGER,theGamesDbName:TEXT,MobyGamesName:TEXT,theGamesDbDate:TEXT,MobyGamesDate:TEXT
124,2563,6419,b'Sonic the Hedgehog 4: Episode 2',b'Sonic Generations',05/15/2012,11/01/2011
125,1838,6165,b'God of War Origins Collection',b'Batman: Arkham Origins Blackgate - Deluxe Edition',09/13/2011,04/01/2014
126,863,3740,b'Ninja Blade',"b""Ninja Gaiden 3 (Collector's Edition)""",04/07/2009,03/20/2012
127,1029,920,b'Sam & Max Beyond Time and Space',"b""Dead Space 2 (Collector's Edition)""",10/14/2009,01/25/2011
128,458,1461,b'Forza Motorsport 4 Essentials Edition',b'Forza Motorsport 3: Community Choice Classics Pack',10/09/2012,12/14/2010
129,327,3810,b'Disney Infinity',b'Disney Infinity: Phineas',08/18/2013,04/29/2014
130,3613,5108,b'The Legend of Spyro: Dawn of the Dragon',b'Dragon Ball Z: Budokai Tenkaichi 3',10/21/2008,12/03/2007
131,2058,2228,b'Major League Baseball 2K10',b'NBA 2K10',03/02/2010,10/06/2009
132,586,3350,b'Just Cause',b'Just Cause',09/26/2006,09/27/2006
133,3208,3643,b'Karaoke Revolution Glee: Volume 2',b'Dance Dance Revolution: Winx Club',04/05/2011,03/26/2009
134,3022,5007,b'Disney Universe',b'Disney Universe',11/16/2011,10/25/2011
135,573,2710,"b""James Cameron's Avatar: The Game""",b'Avatar Paintball',12/01/2009,05/29/2010
136,2393,6428,b'Risen 2: Dark Waters Special Edition',b'Sonic Wings Special',07/31/2012,11/16/2010
137,1990,3974,b'Lara Croft and the Guardian of Light',b'Metro: Last Light - The Ranger Mode',09/28/2010,05/14/2013
138,1229,2714,b'The Walking Dead: Episode 1: A New Day',"b""A Wizard's Odyssey""",04/27/2012,02/01/2009
139,228,1534,b'Command & Conquer: Red Alert 3',"b""Command & Conquer 3: Kane's Wrath""",11/14/2008,06/23/2008
140,3444,4201,b'Rampage: Total Destruction',b'Rampage: Total Destruction',11/19/2006,11/19/2006
141,622,6241,b'Le Testament de Sherlock Holmes',b'Sherlock Holmes vs. Jack the Ripper',09/20/2012,04/23/2010
142,3170,4385,b'Hot Wheels: Battle Force 5',b'TRON: Evolution - Battle Grids',11/17/2009,12/07/2010
143,2495,516,b'SingStar ABBA',b'SingStar ABBA',12/02/2008,12/02/2008
144,288,916,b'Dead Rising 2 - Zombrex Edition',b'Dead Rising 2 (Outbreak Edition)',09/28/2010,09/24/2010
145,1109,2119,b'Soul Calibur IV & Tekken 6',b'SoulCalibur IV (Premium Edition)',10/30/2012,07/29/2008
146,1181,2481,b'The Black Eyed Peas Experience',b'Call of Duty: Black Ops II - Graffiti MP Personalization Pack',11/15/2011,03/13/2013
147,2482,6010,b'Shin Kamaitachi no Yoru: 11 Hitome no Suspect',b'Pinball Arcade Table Pack 6: Elvira and the Party Monsters and No Good Gofers',12/17/2011,10/30/2012
148,1503,5432,b'Beyond the Future: Fix the Time Arrows',b'Teenage Mutant Ninja Turtles: Turtles in Time Re-Shelled',12/08/2011,10/01/2009
149,1753,3413,b'Enemy Territory: Quake Wars',b'Enemy Front (Limited Edition)',05/27/2008,06/13/2014
150,635,1377,b'LEGO Indiana Jones 2: The Adventure Continues',b'LEGO Star Wars III: The Clone Wars',11/17/2009,03/24/2010
151,2215,827,b'NHL 09',b'NHL 2K10',09/09/2008,09/15/2009
152,2372,3304,b'Resident Evil: Chronicles HD Collection',b'Castlevania Chronicles',06/26/2012,12/18/2008
153,900,5319,b'Pinball Hall of Fame: The Williams Collection',b'Pinball FX2: Deadpool',09/22/2009,06/25/2014
154,2439,1560,b'Sam & Max Beyond Time and Space',b'Prince of Persia: The Sands of Time',10/18/2011,11/17/2010
155,2185,2235,b'NBA Live 08',b'NBA 2K8',10/01/2007,10/02/2007
156,3613,1130,b'The Legend of Spyro: Dawn of the Dragon',b'The  Legend of Zelda: Skyward Sword (Limited Edition Pack)',10/21/2008,11/20/2011
157,1603,5146,b'Colin McRae: DiRT 2',b'DiRT 3: Complete Edition',09/11/2008,03/09/2012
158,1195,3269,b'The Godfather II',b'The Godfather II',04/07/2009,04/07/2009
159,101,5299,b'Beijing 2008',b'PES 2008: Pro Evolution Soccer',07/08/2008,03/11/2008
160,1805,2851,b'Final Fantasy XIV',"b""Final Fantasy X | X-2 HD Remaster (Collector's Edition)""",09/21/2010,03/18/2014
161,1990,3110,b'Lara Croft and the Guardian of Light',b'Lara Croft and the Guardian of Light',09/28/2010,09/28/2010
162,2733,3835,b'Transformers: Dark of the Moon',b'Dark Sector',06/14/2011,03/25/2008
163,687,6448,b'Major League Baseball 2K11',b'Major League Baseball 2K7',03/08/2011,02/27/2007
164,629,1382,b'LEGO Batman 2: DC Super Heroes',b'LEGO The Lord of the Rings: Middle-earth Character Pack 1',06/19/2012,12/11/2012
165,641,5686,b'LEGO Star Wars III: The Clone Wars',"b""Assassin's Creed III: The Tyranny of King Washington - The Infamy""",03/22/2011,02/19/2013
166,2313,1785,b'Puzzle Chronicles',b'White Knight Chronicles',04/22/2010,02/02/2010
167,447,941,b'Final Fight: Double Impact',b'Borderlands: Double Game Add-on Pack',04/14/2010,04/06/2010
168,65,876,b'Assault Heroes 2',b'Apache Air Assault',05/14/2008,11/16/2010
169,2357,1423,b'Red Dead Redemption: Undead Nightmare',b'Red Dead Redemption: Game of the Year Edition',10/26/2010,10/11/2011
171,3024,3920,b'Disney: The Princess and the Frog',b'Disney Infinity: Wreck-it Ralph Toy Box Pack',,04/01/2014
172,2710,4069,"b""Tom Clancy's Ghost Recon Advanced Warfighter 2""","b""Tom Clancy's Splinter Cell: Blacklist (Paladin Multi-mission Aircraft Edition)""",08/23/2007,08/20/2013
173,1270,4301,b'Tomb Raider: Legend',b'Lara Croft Tomb Raider: Legend',04/11/2006,04/11/2006
174,1095,3052,b'Sonic & SEGA All-Stars Racing with Banjo-Kazooie',b'Banjo-Kazooie: Nuts & Bolts',02/23/2010,11/20/2008
175,3084,1218,b'Final Fantasy Crystal Chronicles: Echoes of Time',b'Final Fantasy: Crystal Chronicles - The Crystal Bearers',06/29/2009,12/26/2009
176,2982,2441,b'Dance Dance Revolution',b'Karaoke Revolution Presents American Idol Encore',11/16/2010,02/05/2008
177,591,3353,b'Just Dance Greatest Hits',b'Just Dance 2014',06/26/2012,10/08/2013
178,609,5550,b'Kinect Star Wars',b'Kinect Nat Geo TV: Season 2',04/03/2012,01/07/2013
179,1261,2726,"b""Tom Clancy's Rainbow 6: Patriots""","b'Memories Off 6: NR - ""T-wave"" Second Chapter'",,08/25/2009
180,1736,3481,b'Dynasty Warriors 8',b'Section 8: Prejudice',07/16/2013,07/26/2011
182,1339,1096,b'Warhammer: Battle March',b'NCAA March Madness 08',09/02/2008,12/11/2007
183,3527,5178,b'Skylanders SWAP Force',"b""Skylanders: Spyro's Adventure - Prism Break / Boomer / Voodood""",10/13/2013,10/16/2011
184,2453,3421,b'Scene It? Movie Night',b'Fight Night Champion',11/29/2011,03/01/2011
185,2551,4171,b'Soldner-X 2: Final Prototype',b'Lightning Returns: Final Fantasy XIII - Tomb Raider',05/25/2010,02/11/2014
186,1821,4677,b'Fuel',b'FUEL',06/02/2009,06/04/2009
187,1849,2971,b'Gran Turismo HD',b'Gran Turismo 6',12/24/2006,12/06/2013
188,2492,504,b'Silent Hill: Homecoming',b'Silent Hill HD Collection',09/30/2008,03/20/2012
189,2558,6427,b'Sonic Generations',b'Sonic Unleashed',11/01/2011,11/27/2008
190,2476,838,b'Sharin no Kuni," Himawari no Shoujo'",b'Ni no Kuni: Wrath of the White Witch',02/28/2013
191,1564,3551,b'Call of Duty 4: Modern Warfare',b'Call of Duty: Ghosts - Gold Edition',11/06/2007,03/25/2014
192,80,3066,b'Batman: Arkham Asylum: Game of the Year Edition',b'Batman: Arkham City - Game of the Year Edition',05/11/2010,05/29/2012
193,1733,1772,b'Dynasty Warriors 7',b'Warriors Orochi',03/29/2011,07/02/2013
194,1803,210,b'Final Fantasy XIII',b'Final Fantasy XIII-2: Opponent - Nabaat',03/09/2010,03/13/2012
195,1268,1186,b'Tomb Raider Anniversary',"b""Tomb Raider (Collector's Edition)""",10/23/2007,03/05/2013
196,2100,1728,b'Metro: Last Light - Limited Edition',b'Borderlands 2 (Ultimate Loot Chest Limited Edition)',05/14/2013,09/18/2012
197,2222,828,b'NHL 2K7',b'NHL 2K7',11/13/2006,01/01/2007
198,710,1678,b'Mass Effect 3',"b""Mass Effect 2 (Collector's Edition)""",03/06/2012,01/26/2010
199,984,3294,b'Ridge Racer 6',b'Ace Combat 6: Fires of Liberation',11/17/2005,10/23/2007
