@info
{
    "table":{
        "name":"aamzon_bn_candset_minus_gold",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"Books",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"amazon.id",
                "type":"INTEGER"
            },
            {
                "name":"bn.id",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairID:INTEGER,amazon.id:INTEGER,bn.id:INTEGER
1436,2677,3625
1438,1950,4616
1441,912,1588
1443,2612,159
1444,2612,160
1445,3896,3554
1446,1153,5173
1447,1450,4384
1448,1076,671
1449,1076,675
1450,1076,5002
1451,2443,1342
1452,1954,3532
1453,2001,5594
1454,3919,1132
1455,5107,3823
1456,4949,4838
1457,37,3319
1458,1909,5555
1460,1678,1630
1462,1678,1632
1463,385,2645
1464,2627,5943
1467,3608,513
1468,3608,5112
1469,4471,3668
1470,1443,3976
1471,1443,3977
1472,935,1064
1473,4083,4349
1474,1738,5253
1475,501,4531
1476,1239,981
1477,2773,1347
1478,2773,1392
1480,1496,3753
1481,3140,4587
1483,1890,3773
1484,1890,3812
1486,2927,5033
1488,2849,1455
1489,1686,3297
1491,3004,1436
1492,2796,6153
1494,573,4661
1495,697,3594
1496,1071,4840
1497,913,414
1498,3902,3853
1499,3902,3867
1500,3902,3887
1501,1918,4931
1502,1918,4989
1503,1918,4992
1504,1918,5005
1505,1918,5011
1506,510,3389
1507,3248,4650
1509,711,5178
1510,1463,6040
1513,1229,4636
1514,4531,816
1515,3510,804
1516,3510,1455
1517,4279,1453
1518,4797,4159
1519,2186,5640
1521,4930,3911
1522,820,446
1523,3724,2817
1524,1422,2131
1525,1422,3966
1526,1422,5187
1527,1422,5188
1528,1422,5189
1529,2863,3443
1530,2863,4911
1531,2863,4921
1532,2863,4926
1533,2863,4931
1535,847,4831
1536,4190,1468
1537,3523,4538
1539,3213,5179
1540,3213,5186
1541,476,3646
1542,4237,1929
1543,422,3440
1544,3244,3649
1545,3244,3650
1546,1815,1598
1549,4230,3866
1552,4050,1059
1553,4265,1379
1556,1061,556
1557,3660,5183
1558,2472,654
1559,5002,3023
1560,4474,1682
1562,4474,1687
1565,4474,1693
1566,4474,1699
1567,4474,1727
1568,4474,3997
1569,4474,3999
1570,4474,4000
1571,4474,4001
1572,4474,4003
1573,4474,4004
1574,3557,1467
1575,594,2506
1577,1529,1311
1578,3031,4810
1579,332,2911
1580,4758,3309
1581,1304,384
1582,4468,2096
1585,3038,2998
1586,76,2179
1587,2840,1899
1588,2720,6229
1589,1775,5652
1590,3694,4461
1591,3592,4789
1592,4646,660
1593,4646,661
1594,4646,662
1595,1464,3302
1596,5193,5618
1597,3452,5595
1598,4865,3678
1600,4185,3919
1601,2538,4294
1603,3878,2560
1605,3123,3899
1606,3123,5581
1607,5035,4886
1608,5035,4890
1610,2606,5211
1611,2741,939
1612,2741,1481
1613,4071,673
1614,4071,674
1615,4071,676
1616,4071,677
1617,775,711
1618,775,5701
1619,1388,1349
1620,1388,1350
1621,4017,5833
1622,4017,5849
1624,4017,5851
1626,4017,5853
1627,713,1345
1628,3353,1483
1629,3109,4426
1630,3633,6299
1631,159,1391
1632,4836,4717
1633,4357,4587
1634,4357,4588
1635,1485,2493
1636,4010,2101
1637,3727,1180
1638,3727,1182
1639,3727,1186
1640,4102,1015
1641,10,3561
1642,10,3563
1643,10,3564
1644,1638,1382
1645,3466,3950
1646,3837,1371
1647,3097,89
1648,3097,132
1649,3097,173
1650,3097,177
1651,5041,2042
1652,5041,2043
1654,4108,391
1655,289,3868
1657,4690,3821
1658,4690,3824
1659,4690,3846
1660,616,664
1661,5018,4932
1662,5018,4933
1664,368,657
1665,2495,3819
1666,2495,3839
1667,2495,3843
1668,2495,3844
1669,3506,2437
1670,1698,1131
1672,2147,4202
1674,4635,2309
1675,3172,4439
1676,4306,4858
1677,3119,4825
1678,2836,1852
1680,2836,1889
1681,2836,1894
1682,2836,2235
1684,2836,2238
1685,2836,2239
1686,1562,5251
1687,4073,5498
1688,5190,2448
1689,1510,890
1690,175,3434
1691,4205,5540
1692,880,6073
1693,5118,70
1694,5118,3630
1695,5118,5632
1696,4254,162
1697,4254,163
1699,3245,1438
1701,1368,3220
1702,1368,3910
1705,3142,1345
1706,3142,1388
1707,3142,3798
1708,3142,3944
1709,3142,3954
1710,3142,4814
1711,3142,5166
1714,3142,5864
1715,1538,1401
1716,1538,3608
1717,4839,3703
1718,5070,4393
1720,4455,6246
1721,2742,5393
1724,2242,3489
1725,2242,3491
1726,2242,3492
1727,4029,3609
1728,787,634
1729,787,636
1730,787,637
1731,671,3676
1732,671,3678
1734,2321,2818
1735,1681,3955
1736,4041,3293
1737,2922,2009
1738,2922,2013
1739,2015,2770
1740,3500,4022
1741,2213,1380
1742,1223,2247
1743,1223,2248
1744,60,5307
1745,4760,598
1746,2239,754
1747,4456,1466
1748,2923,2319
1749,2335,804
1750,2335,824
1751,354,2291
1752,1722,3495
1753,448,2129
1754,3921,5702
1755,2667,4701
1757,3483,6264
1758,3483,6266
1759,3483,6267
1760,5151,3637
1761,4178,1334
1763,4178,5695
1764,15,5647
1765,15,5664
1766,3440,1381
1767,3433,450
1768,1372,2220
1769,5138,320
1771,542,2022
1772,3685,255
1773,3685,258
1774,3685,574
1775,3685,740
1776,3685,836
1777,3685,991
1779,3685,1711
1780,3685,1712
1781,3685,1713
1782,3685,1852
1783,3685,1855
1784,3685,1857
1786,3685,1859
1787,3685,1881
1788,3685,1889
1789,3685,1894
1790,3685,2237
1791,3685,2239
1792,3685,2470
1793,3685,2697
1794,3685,3167
1795,3685,3966
1797,3685,5187
1798,3685,5188
1799,3685,5189
1801,3638,5617
1802,2954,756
1804,2954,2652
1805,2954,5508
1806,120,4588
1807,3029,5886
1808,2212,673
1809,2212,674
1810,2212,676
1811,2212,677
1813,1106,1340
1814,58,1588
1816,2537,2038
1818,1990,4165
1819,4685,1464
1820,2011,1346
1823,5098,2580
1824,5098,2586
1825,1591,3572
1828,4957,6367
1829,4115,6250
1830,2826,939
1831,2826,1474
1833,2826,1481
1834,2826,4621
1835,529,1458
1836,1048,3385
1837,4151,656
1838,3885,5084
1841,3760,1524
1844,5124,1462
1845,355,5935
1846,391,527
1847,520,6406
1848,2619,2882
1850,4078,3440
1851,3649,580
1852,3070,2130
1853,1530,1203
1854,500,5130
1855,3761,6079
1856,1673,5685
1857,2818,5473
1858,5074,5282
1859,5074,5285
1862,5074,5307
1863,5074,5311
1864,4068,5183
1866,4960,1472
1867,3351,4559
1869,150,4557
1871,3875,291
1872,2159,4517
1874,3301,3388
1875,957,2275
1876,4302,4285
1877,2690,1486
1878,5170,1455
1879,971,5305
1880,971,5315
1881,589,2219
1884,3623,4909
1885,3663,3677
1886,3663,3883
1887,3663,4989
1888,881,3011
1889,3045,2467
1891,323,5679
1892,3099,5970
1893,3426,5589
1895,3139,2704
1896,3139,2706
1898,3139,2716
1899,2704,523
1900,4110,5730
1901,2688,4463
1902,4734,428
1903,4527,4839
1904,1934,794
1905,3498,4534
1907,200,3470
1909,1224,497
1911,2776,4867
1912,2776,4868
1913,2776,4870
1914,2714,4471
1916,3162,4986
1917,3637,2078
1918,3098,3465
1919,3331,2177
1922,3544,4993
1923,2986,3893
1924,2986,5632
1925,5097,969
1926,3173,1884
1927,4655,5924
1928,4655,5925
1929,2378,2169
1930,3343,4240
1931,4770,4455
1933,2671,2702
1934,2671,2704
1935,2671,2706
1936,2671,2707
1937,2671,2716
1938,4195,1359
1939,4195,1375
1940,4195,1376
1941,3043,6313
1942,293,4392
1943,4282,452
1944,3040,5851
1945,3040,5852
1946,3134,2095
1948,3665,1430
1949,3665,1476
1950,3958,4600
