@info
{
    "table":{
        "name":"pt_brand_candset",
        "description":"",
        "idAttrib":{
            "name":"pairId",
            "type":"INTEGER"
        },
        "projectName":"wgec_amazon_samsung",
        "attributes":[
            {
                "name":"pairId",
                "type":"INTEGER"
            },
            {
                "name":"samsung.id",
                "type":"TEXT"
            },
            {
                "name":"amazon.id",
                "type":"TEXT"
            },
            {
                "name":"samsung.Product_Type",
                "type":"TEXT"
            },
            {
                "name":"samsung.Product_Name",
                "type":"TEXT"
            },
            {
                "name":"samsung.Brand",
                "type":"TEXT"
            },
            {
                "name":"amazon.Product_Type",
                "type":"TEXT"
            },
            {
                "name":"amazon.Product_Name",
                "type":"TEXT"
            },
            {
                "name":"amazon.Brand",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairId:INTEGER,samsung.id:TEXT,amazon.id:TEXT,samsung.Product_Type:TEXT,samsung.Product_Name:TEXT,samsung.Brand:TEXT,amazon.Product_Type:TEXT,amazon.Product_Name:TEXT,amazon.Brand:TEXT
54,206,8918,"[""Digital Audio Players""]","[""Sony 4K Ultra HD Media Player""]","[""Sony""]","[""Digital Audio Players""]","[""Sony D-NE319 MP3/ATRAC CD Walkman (Blue)""]","[""Sony""]"
55,89,8918,"[""Digital Audio Players""]","[""Black 4 GB Bluetooth Sports Wearable MP3 Player""]","[""Sony""]","[""Digital Audio Players""]","[""Sony D-NE319 MP3/ATRAC CD Walkman (Blue)""]","[""Sony""]"
56,91,8930,"[""Laptop Computers""]","[""SSD 840 EVO 2.5-inch SATA 250GB (Laptop Kit)""]","[""Samsung""]","[""Laptop Computers""]","[""\""Samsung Chromebook (Wi-Fi, 11.6-Inch) - Silver (Certified Refurbished)\""""]","[""Samsung""]"
57,48,6825,"[""Blu Ray & DVD Players""]","[""Streaming Blu-ray Disc\u201aÑ¢ player with Super Wi-Fi ¬Æ""]","[""Sony""]","[""Blu Ray & DVD Players""]","[""Sony DVPSR370 All Multi Region Zone Code DVD Player""]","[""Sony""]"
58,1,6825,"[""Blu Ray & DVD Players""]","[""1080p Upscaling DVD Player""]","[""Sony""]","[""Blu Ray & DVD Players""]","[""Sony DVPSR370 All Multi Region Zone Code DVD Player""]","[""Sony""]"
59,113,6825,"[""Blu Ray & DVD Players""]","[""Wi-Fi ¬Æ Streaming Blu-ray Disc\u201aÑ¢ player with 4k upscaling""]","[""Sony""]","[""Blu Ray & DVD Players""]","[""Sony DVPSR370 All Multi Region Zone Code DVD Player""]","[""Sony""]"
60,87,6825,"[""Blu Ray & DVD Players""]","[""3D Streaming Blu-ray Disc\u201aÑ¢ player with TRILUMINOS technology""]","[""Sony""]","[""Blu Ray & DVD Players""]","[""Sony DVPSR370 All Multi Region Zone Code DVD Player""]","[""Sony""]"
61,9,1865,"[""Blu Ray & DVD Players""]","[""BD-J5900 Blu-ray Player""]","[""Samsung""]","[""Blu Ray & DVD Players""]","[""Samsung DVD-D530 All Multi Region Code Free 1080p with HDMI Up Converting DVD Player""]","[""Samsung""]"
62,80,1865,"[""Blu Ray & DVD Players""]","[""New Smart 3D Blu-ray Disc¬Æ Player With UHD 4K Upscaling""]","[""Samsung""]","[""Blu Ray & DVD Players""]","[""Samsung DVD-D530 All Multi Region Code Free 1080p with HDMI Up Converting DVD Player""]","[""Samsung""]"
63,189,1865,"[""Blu Ray & DVD Players""]","[""BD-H5900 Blu-ray Player""]","[""Samsung""]","[""Blu Ray & DVD Players""]","[""Samsung DVD-D530 All Multi Region Code Free 1080p with HDMI Up Converting DVD Player""]","[""Samsung""]"
64,129,1865,"[""Blu Ray & DVD Players""]","[""BD-F5700 Samsung Blu-ray Player""]","[""Samsung""]","[""Blu Ray & DVD Players""]","[""Samsung DVD-D530 All Multi Region Code Free 1080p with HDMI Up Converting DVD Player""]","[""Samsung""]"
65,134,8982,"[""default""]","[""Soft Carrying Case""]","[""Sony""]","[""default""]","[""Sony CMTSBT100 Micro Music System with Bluetooth and NFC""]","[""Sony""]"
66,112,8982,"[""default""]","[""Xperia T3""]","[""Sony""]","[""default""]","[""Sony CMTSBT100 Micro Music System with Bluetooth and NFC""]","[""Sony""]"
67,110,8982,"[""default""]","[""Œ±58 DSLR and 18-55mm Lens""]","[""Sony""]","[""default""]","[""Sony CMTSBT100 Micro Music System with Bluetooth and NFC""]","[""Sony""]"
68,165,8982,"[""default""]","[""RMF-YD001""]","[""Sony""]","[""default""]","[""Sony CMTSBT100 Micro Music System with Bluetooth and NFC""]","[""Sony""]"
69,117,8981,"[""default""]","[""Samsung SHAPE\u201aÑ¢ Wireless Audio Hub""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
70,210,8981,"[""default""]","[""Bell'O CW342 Curved Wood Audio Video System""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
71,58,8981,"[""default""]","[""SSD 840 EVO 2.5-inch SATA 120GB (Desktop Kit)""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
72,138,8981,"[""default""]","[""Gear VR Innovator Edition for S6""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
73,216,8981,"[""default""]","[""Bell'O Corner-Fit Cherry Wood Trim Audio/Video System""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
74,56,8981,"[""default""]","[""CY-TP55LCC \u201aÄî 55\"" Touch Overlay""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
