@info
{
    "table":{
        "name":"wv_candset",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"wgec_el_2",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"walmart.id",
                "type":"TEXT"
            },
            {
                "name":"vendor.id",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairID:INTEGER,walmart.id:TEXT,vendor.id:TEXT
447,16561013,16561013#eBags
448,16561718,16561718#eBags
449,14590692,14590692#ivgStores
450,16561786,16561786#eBags
451,16561886,16561886#eBags
452,16561921,16561921#eBags
453,34074095,34074095#Babyhaven
454,16565536,16565536#eBags
455,16621120,16621120#eBags
456,29889954,29889954#Perf-Moto
457,16660110,16660110#eBags
458,16660759,16660759#eBags
459,16660772,16660772#eBags
460,16660778,16660778#eBags
461,16794808,16794808#eBags
462,16794823,16794823#eBags
463,16873978,16873978#eBags
464,16874952,16874952#eBags
465,16874966,16874966#eBags
466,16927121,16927121#eBags
467,16927126,16927126#eBags
468,16927131,16927131#eBags
469,16944283,16944283#eBags
470,17032482,17032482#eBags
471,17129683,17129683#eBags
472,17133293,17133293#eBags
473,17134132,17134132#eBags
474,17134137,17134137#eBags
475,17134144,17134144#eBags
476,17134166,17134166#eBags
477,17211249,17211249#eBags
478,17277012,17277012#eBags
479,39505611,39505611#Babyhaven
480,17323887,17323887#eBags
481,17395941,17395941#eBags
482,17395975,17395975#eBags
483,14915802,14915802#ivgStores
484,17449846,17449846#eBags
485,14916415,14916415#ivgStores
486,14922530,14922530#ivgStores
487,17654766,17654766#eBags
488,17756892,17756892#eBags
489,17756998,17756998#eBags
490,14927489,14927489#ivgStores
491,17811940,17811940#eBags
492,14927495,14927495#ivgStores
493,17811959,17811959#eBags
494,14931223,14931223#ivgStores
495,15048429,15048429#ivgStores
496,15066078,15066078#ivgStores
497,19316103,19316103#eBags
498,15135097,15135097#ivgStores
499,19426181,19426181#eBags
500,19480533,19480533#eBags
501,29968971,29968971#Perf-Moto
502,19480535,19480535#eBags
503,19480536,19480536#eBags
504,19486615,19486615#eBags
505,19486715,19486715#eBags
506,19486743,19486743#eBags
507,15523649,15523649#ivgStores
508,19500441,19500441#eBags
509,19500501,19500501#eBags
510,19502573,19502573#eBags
511,15569954,15569954#ivgStores
512,19515824,19515824#eBags
513,19519663,19519663#eBags
514,19519674,19519674#eBags
515,19519690,19519690#eBags
516,19519701,19519701#eBags
517,19520014,19520014#eBags
518,19534653,19534653#eBags
519,19581623,19581623#eBags
520,19581626,19581626#eBags
521,19581655,19581655#eBags
522,19581679,19581679#eBags
523,19612975,19612975#eBags
524,19857112,19857112#eBags
525,15734463,15734463#ivgStores
526,10073780,10073780#eBags
527,10333409,10333409#eBags
528,10333828,10333828#eBags
529,10910106,10910106#eBags
530,11068339,11068339#eBags
531,11084239,11084239#eBags
532,15782862,15782862#ivgStores
533,12180882,12180882#eBags
534,12180946,12180946#eBags
535,12181618,12181618#eBags
536,12181964,12181964#eBags
537,12182159,12182159#eBags
538,12182308,12182308#eBags
539,12183187,12183187#eBags
540,12183227,12183227#eBags
541,12183687,12183687#eBags
542,12184399,12184399#eBags
543,12184524,12184524#eBags
544,16422760,16422760#ivgStores
545,12184678,12184678#eBags
546,12184899,12184899#eBags
547,12185429,12185429#eBags
548,12185577,12185577#eBags
549,12186064,12186064#eBags
550,12186117,12186117#eBags
551,12186264,12186264#eBags
553,12186517,12186517#eBags
554,12186543,12186543#eBags
555,12186586,12186586#eBags
556,12186744,12186744#eBags
557,12186908,12186908#eBags
558,12187139,12187139#eBags
559,12187452,12187452#eBags
560,16523654,16523654#ivgStores
561,12187862,12187862#eBags
562,16529184,16529184#ivgStores
563,12329965,12329965#eBags
564,12342991,12342991#eBags
565,12350801,12350801#eBags
566,16829813,16829813#ivgStores
567,16904407,16904407#ivgStores
568,12361438,12361438#eBags
569,12426058,12426058#eBags
570,12427660,12427660#eBags
571,12509674,12509674#eBags
