@info
{
    "table":{
        "name":"candset",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"gec_el",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"A.id",
                "type":"TEXT"
            },
            {
                "name":"B.id",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairID:INTEGER,A.id:TEXT,B.id:TEXT
797,17134162,17134162#eBags
798,17176660,17176660#eBags
799,17176671,17176671#eBags
800,17182008,17182008#eBags
801,17182023,17182023#eBags
802,17182024,17182024#eBags
803,17182072,17182072#eBags
804,17209475,17209475#eBags
805,17211174,17211174#eBags
806,17211204,17211204#eBags
807,17211207,17211207#eBags
808,17211248,17211248#eBags
809,17277014,17277014#eBags
810,17277023,17277023#eBags
811,17352815,17352815#eBags
812,19262832,19262832#ivgStores
813,19293725,19293725#ivgStores
814,17395938,17395938#eBags
815,17395976,17395976#eBags
816,17395984,17395984#eBags
817,17510955,17510955#eBags
818,17510956,17510956#eBags
819,17654765,17654765#eBags
820,17787033,17787033#eBags
821,17787038,17787038#eBags
822,17811879,17811879#eBags
823,17811891,17811891#eBags
824,17811918,17811918#eBags
825,19351652,19351652#ivgStores
826,19394058,19394058#ivgStores
827,19410149,19410149#ivgStores
828,19410157,19410157#ivgStores
829,19410174,19410174#ivgStores
830,19410177,19410177#ivgStores
831,19418581,19418581#ivgStores
832,19400593,19400593#eBags
833,19480521,19480521#eBags
834,19500425,19500425#eBags
835,19500458,19500458#eBags
836,19633522,19633522#ivgStores
837,19519656,19519656#eBags
838,19519681,19519681#eBags
839,19519683,19519683#eBags
840,19519717,19519717#eBags
841,19530828,19530828#eBags
842,19530834,19530834#eBags
843,42890258,42890258#Babyhaven
844,19612976,19612976#eBags
845,19691453,19691453#eBags
846,19858305,19858305#eBags
847,19977241,19977241#eBags
848,10073811,10073811#eBags
849,10333813,10333813#eBags
850,29996303,29996303#Perf-Moto
851,10737654,10737654#eBags
852,10811437,10811437#eBags
853,10988706,10988706#eBags
854,11068303,11068303#eBags
855,11084236,11084236#eBags
856,11084247,11084247#eBags
857,11090784,11090784#eBags
858,11988068,11988068#eBags
859,11988073,11988073#eBags
860,11997529,11997529#eBags
861,12086223,12086223#eBags
862,12179435,12179435#eBags
863,12179437,12179437#eBags
864,12179618,12179618#eBags
865,12180073,12180073#eBags
866,12180083,12180083#eBags
867,19788780,19788780#ivgStores
868,10226394,10226394#ivgStores
869,12181146,12181146#eBags
870,10298536,10298536#ivgStores
871,10353091,10353091#ivgStores
872,10363842,10363842#ivgStores
873,12181699,12181699#eBags
874,12181706,12181706#eBags
875,10363849,10363849#ivgStores
876,12181727,12181727#eBags
877,10401098,10401098#ivgStores
878,12181728,12181728#eBags
879,10714495,10714495#ivgStores
880,29998601,29998601#Perf-Moto
881,10737653,10737653#ivgStores
882,10741276,10741276#ivgStores
883,10746776,10746776#ivgStores
884,12183390,12183390#eBags
885,10983254,10983254#ivgStores
